Name, Xanequiox,Destination, 38,Total Wait, 11,	Wait at Stop, 6,	Time on bus, 5,
Name, Bellimacox,Destination, 33,Total Wait, 6,	Wait at Stop, 1,	Time on bus, 5,
Name, Natriuvimus,Destination, 39,Total Wait, 5,	Wait at Stop, 2,	Time on bus, 3,
Name, Natriuvimus,Destination, 39,Total Wait, 5,	Wait at Stop, 2,	Time on bus, 3,
Name, Evimacix,Destination, 39,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Equiator,Destination, 28,Total Wait, 8,	Wait at Stop, 6,	Time on bus, 2,
Name, Equiator,Destination, 28,Total Wait, 8,	Wait at Stop, 6,	Time on bus, 2,
Name, Naramoraith,Destination, 28,Total Wait, 7,	Wait at Stop, 5,	Time on bus, 2,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellequisator,Destination, 40,Total Wait, 12,	Wait at Stop, 9,	Time on bus, 3,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellequisator,Destination, 40,Total Wait, 12,	Wait at Stop, 9,	Time on bus, 3,
Name, Belapollum,Destination, 40,Total Wait, 10,	Wait at Stop, 7,	Time on bus, 3,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellequisator,Destination, 40,Total Wait, 12,	Wait at Stop, 9,	Time on bus, 3,
Name, Belapollum,Destination, 40,Total Wait, 10,	Wait at Stop, 7,	Time on bus, 3,
Name, Belleduc,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellequisator,Destination, 40,Total Wait, 12,	Wait at Stop, 9,	Time on bus, 3,
Name, Belapollum,Destination, 40,Total Wait, 10,	Wait at Stop, 7,	Time on bus, 3,
Name, Belleduc,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Narapoll,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellequisator,Destination, 40,Total Wait, 12,	Wait at Stop, 9,	Time on bus, 3,
Name, Belapollum,Destination, 40,Total Wait, 10,	Wait at Stop, 7,	Time on bus, 3,
Name, Belleduc,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Narapoll,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Xanorbiso,Destination, 40,Total Wait, 9,	Wait at Stop, 7,	Time on bus, 2,
Name, Bellilleox,Destination, 40,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Bellequisator,Destination, 40,Total Wait, 12,	Wait at Stop, 9,	Time on bus, 3,
Name, Belapollum,Destination, 40,Total Wait, 10,	Wait at Stop, 7,	Time on bus, 3,
Name, Belleduc,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
Name, Narapoll,Destination, 40,Total Wait, 12,	Wait at Stop, 10,	Time on bus, 2,
